Complaint ID,Consumer complaint narrative,my_category,my_risk,notes
5010323,"It appeared on my credit report that I had accidentally missed a payment. I paid it immediately and should be fixed. Hoping to remove this from my credit please. 


Thankyou",Incorrect account filing,Low,
20398810,"I sent a formal debt validation letter via Certified Mail on XX/XX/year> to Portfolio Recovery Associates regarding an account ending in XXXX. This account is appearing on my credit report and I am disputing its validity and accuracy. As a debt buyer, Portfolio Recovery Associates must provide full chain of ownership documentation. I am requesting validation per my rights under the FDCPA and FCRA, or immediate deletion from all credit reporting agencies.",Disputed/unauthorized account,Medium,
5079796,"XXXX of XXXX I filed for a Covid forbearance plan due to lack of work/income reduction related to the XXXX pandemic. As of XX/XX/XXXX that forbearance plan was scheduled to end. I had just gotten a new job and was prepared to resume my mortgage payments as scheduled. I was offered several different repayment options during my forbearance period, most of which I was either lied to about or AmeriHome refused to provide me with any detailed information about when I requested. When it came time to file for a repayment plan the only one that I was told was an option for me was the Partial Claim. Seeing no other way to proceed, I accepted this. I signed the paperwork as instructed and mailed overnight to AmeriHome on XX/XX/XXXX. I had no communication or correspondence from AmeriHome for several weeks after. With my XX/XX/XXXX payment coming due I reached out to check the status and was told my paperwork needed to be resigned. I patiently waited another several weeks and never received the new paperwork. I reached out again XXXX and was told the request for new paperwork was being processed. On XX/XX/XXXX I still had not received anything and called in again to submit another request for the Partial Claim paperwork. I was told I should receive this paperwork no later than XX/XX/XXXX. Again, I did not receive anything and even AmeriHome representatives were not sure why nothing was being sent to me. The week of XX/XX/XXXX I spoke to another representative that made me aware of a loan modification option in which my mortgage could be extended and interest rate lowered in order for me to resume making payments at a lower amount. This was an option I originally wanted to take but was not offered in XXXX even at my request. Now, paperwork for this option was supposed to have been sent and I was told I would receive by end of XXXX at the latest. As of today, XX/XX/XXXX, I have not received anything from AmeriHome, despite repeated requests, mailed letters, and exhausting efforts. I am growing very concerned that legal action may be necessary to avoid damage to my credit and attempted foreclosure by AmeriHome even though I am ready, willing, and able to resume my mortgage payments. A process that was supposed to be resolved in XXXX has now taken more than 3 additional months which is far beyond any reasonable timeline.",Lack of action in a reasonable timeframe,High,
1390668,I have a XXXX account ( XXXX XXXX XXXX ) and they attached a product called XXXX XXXX to my account without my knowledge or consent.,Incorrect account filing,Low,
13274030,"YOUR COMPLAINT I'm not sure where to start. On XX/XX/XXXX, around XXXX, I received a text from Bank of America stating there was unusual activity on my primary debit card ending in XXXX. My FORMER roommate, XXXX XXXX had previously stolen my secondary debit card ending in XXXX. She had also taken photos of my primary debit card. At this time the bank and I decided to take a look at all the transactions from the time she lived with me. I have no clue how she got my PIN number, The bank lumped the multiple ATM withdrawals into a few claims with large amounts all over {$1000.00} This woman also paid her boyfriends phone bill after I SPECIFICALLY told her not too. I have been given a different story every single time I have contacted bank of america and its caused me to become physically ill. At first the bank denied my claim and made a number of ridiculous excuses, and then told me I should have filed a police report after I was repeatedly told I didn't have too. Claim ID XXXX Claim amount {$30.00} Claim opened XX/XX/year> Claim ID XXXX Claim amount {$1900.00} Claim opened XX/XX/year> Claim ID XXXX Claim amount {$1800.00} Claim opened XX/XX/year> Claim ID XXXX Claim amount {$1500.00} Claim opened XX/XX/year> Claim ID XXXX Claim amount {$45.00} Claim opened XX/XX/year> as you can see it's a lot of money and I will be happy to provide the police report numbers as well I included a copy of the original complaint because they are still denying my claims and making it extremely difficult. my bank account was completely robbed I did not authorize this person to use my account no matter what they say + they're still denying my claims. I will be hiring an attorney and changing Banks but as of right now I need my money back like it was stolen. I did not authorize any of those transactions nor did I give this person my debit card if they had told me from day XXXXne I needed to file a police report I would have done so. however, they told me it was not necessary for my claims to be paid. then I went and did it. I have XXXX separate police reports, XXXX for the actual stolen debit card and XXXX for the fraud and it's still not enough for them. I don't know what more I can do cuz I did not give this person access to my account just because she was my roommate does not mean that I let her use my bank card",Closed dispute without resolving the issue,High,
8273395,"Flagstar Bank was our mortgage servicer from XX/XX/XXXX to XX/XX/XXXX. Flagstar Bank claims to have sent an escrow surplus check to our address in the in amount of {$3300.00} during the month of XXXX. We did not receive a check. Upon reviewing my new mortgage statement with XXXX XXXX XXXX XXXX, I noticed there was a discrepancy in my escrow balance. I contacted Flagstar on XX/XX/XXXX and was told there was nothing they could do as they issued the check. I requested proof of check from the Flagstar representative and was told that I needed to contact XXXXXXXX XXXX. XXXX XXXX  did not know what I was talking about. I'm concerned that Flagstar misplaced or is illegaling holding onto my escrow funds.",Closed dispute without resolving the issue,High,This could fall under lack of action or disputed account
8543293,"I am extremely dissatisfied with your failure to remove all fraudulent accounts from my credit report, unlike XXXX 's compliance. The discrepancies persisting on my report are unacceptable. 
I demand immediate action to remove the remaining fraudulent accounts, including XXXX XXXX XXXX XXXX and XXXX XXXX XXXX XXXX, as XXXX has done.",Lack of action in a reasonable timeframe,Medium,
8477453,"My debit card and credit card was stolen, I disputed all the charges but South State Bank claims to not be able to credit me for {$480.00} because they have supporting evidence as to why I cant be credited claiming it to not have been a mistake. When I called a few days after I had disputed the charges to get an update, the man on the phone told me that the investigation was closed and he would have an amount credited to me soon but didnt tell me the amount, when I went in he told me they were still investigating and I could only be credited {$470.00} and {$810.00} but not the {$480.00}. I requested the evidence as to why I wasnt receiving all my money and he told me it would be mailed to me and I could call the number listed on the paper for some answers. In the mail I received the same paper that I received from the bank that just had the list of charges that they wont credit me for and when I called the number listed on the papers I received, they said they could not help me or give me any information. Ive been calling and speaking to different people from the bank for over a week and most recently I was told that I would have to physically go into each place that the charges came from and dispute them there which I have no idea where to even go being that it was not me who made the payments I have spoken to several individuals w in my bank and customer service and have also gone into the bank twice and no one has any evidence nor any information on why the money isnt credited back to me or what I could do or who I could speak with in order to get the rest of my money back.",Lack of action in a reasonable timeframe,High,
9851663,There are unauthorized accounts on my credit report that are hurting my credit.,Disputed/unauthorized account,High,
15782516,"I want to stress that I did not give written permission for these specific transactions to be included in my consumer report. At no point did I authorize these entries, and their presence on my report is unwarranted. Consequently, I am formally requesting that these accounts be blocked and removed from my report immediately. It is important to clarify that this request is not due to any error or negligence on my part. There has been no oversight or misunderstanding on my end. Instead, this issue arises solely from the fact that I did not explicitly authorize the inclusion of these transactions in my report. I am diligent about maintaining the accuracy and privacy of my financial records, and these unauthorized entries compromise that integrity. I trust that you will handle this matter with the urgency and seriousness it deserves. Please confirm the removal of these transactions from my report as soon as possible. Thank you for your prompt attention to this issue.",Disputed/unauthorized account,Medium,
